id,title,brand,size,refresh_rate,resolution,panel_type,is_curved,is_gaming,is_frameless,price_raw,price,condition,location,slug,link,shop_name,is_member,timestamp
6a81435e04c255c0afcde32c,"HP 24"" Elite Display Full HD IPS Frameless Monitor 60Hz",HP,24 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 26,500",26500,Used,Colombo,hp-24-elite-display-full-hd-ips-frameless-monitor-60hz-for-sale-colombo-17,https://ikman.lk/en/ad/hp-24-elite-display-full-hd-ips-frameless-monitor-60hz-for-sale-colombo-17,Laptop Outlet Pvt Ltd,True,16 days
6a959f624732d93db946e492,"MSI 24"" 144 IPS G241",MSI,24 Inch,60Hz,1080p FHD,IPS,False,False,False,"Rs 35,000",35000,Used,Colombo,msi-24-144-ips-g241-for-sale-colombo,https://ikman.lk/en/ad/msi-24-144-ips-g241-for-sale-colombo,,False,just now
6a958cbd475fdbcd2683d31b,Dell Monitor 24 Inches,Dell,24 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 13,500",13500,Used,Galle,moniter-24-inche-for-sale-galle,https://ikman.lk/en/ad/moniter-24-inche-for-sale-galle,,False,1 hour
6a958c46df5d2facf8e2aa1f,Samsung 24 Inch Monitor,Samsung,24 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 10,000",10000,Used,Kurunegala,samsung-24-inch-monitor-for-sale-kurunegala,https://ikman.lk/en/ad/samsung-24-inch-monitor-for-sale-kurunegala,,False,1 hour
6a9597ab43856807e3227992,HP ProBook 450 G6 | i5 8th Gen 8GB RAM 256GB SSD Genuine Charger,HP,Unknown,60Hz,Unknown,Standard,False,False,False,"Rs 83,000",83000,Used,Colombo,hp-probook-450-g6-i5-8th-gen-8gb-ram-256gb-ssd-genuine-charger-for-sale-colombo,https://ikman.lk/en/ad/hp-probook-450-g6-i5-8th-gen-8gb-ram-256gb-ssd-genuine-charger-for-sale-colombo,TokyoTech Computers,True,2 hours
6a9578053d1da75ffdb55457,Acer Nitro KG273 W3 Monitor,Acer,Unknown,60Hz,Unknown,Standard,False,False,False,"Rs 47,000",47000,Used,Colombo,acer-nitro-kg273-w3-monitor-for-sale-colombo,https://ikman.lk/en/ad/acer-nitro-kg273-w3-monitor-for-sale-colombo,,False,3 hours
6a957f5ee64b615347fd12b7,"MONITOR 27"" IPS FRAMELESS (1980 x 1080P) ULTRA SLIM|FHD|HDMI",Other,27 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 33,850",33850,Used,Gampaha,monitor-27-ips-frameless-1980-x-1080p-ultra-slimfhdhdmi-for-sale-gampaha-1,https://ikman.lk/en/ad/monitor-27-ips-frameless-1980-x-1080p-ultra-slimfhdhdmi-for-sale-gampaha-1,ShaTech Zone,True,4 hours
6a957ef098e716ea3083d2a8,"24"" IPS FRAMELESS MONITOR (1980 x 1080P) FHD|HDMI",Other,24 Inch,60Hz,1080p FHD,IPS,False,False,True,"Rs 21,150",21150,Used,Colombo,24-ips-frameless-monitor-1980-x-1080p-fhdhdmi-for-sale-colombo,https://ikman.lk/en/ad/24-ips-frameless-monitor-1980-x-1080p-fhdhdmi-for-sale-colombo,ShaTech Zone,True,4 hours
6a957dd54b24e8c97fe53caf,"Monitor with Soundbar Speaker - 24"" LED|WIDE",Other,24 Inch,60Hz,1080p FHD,Standard,False,False,False,"Rs 13,950",13950,Used,Gampaha,monitor-with-soundbar-speaker-24-ledwide-for-sale-gampaha,https://ikman.lk/en/ad/monitor-with-soundbar-speaker-24-ledwide-for-sale-gampaha,ShaTech Zone,True,4 hours
6a957a8a9caf307985cd6dd1,Lenovo ThinkVision P24h-10,Lenovo,Unknown,60Hz,Unknown,Standard,False,False,False,"Rs 28,500",28500,Used,Colombo,lenovo-thinkvision-p24h-10-for-sale-colombo,https://ikman.lk/en/ad/lenovo-thinkvision-p24h-10-for-sale-colombo,Myitem.lk (PVT) Ltd,True,4 hours
6a9573b9ca43d0645c076c13,24 INCH DELL FRAMELESS MONITOR,Dell,24 Inch,60Hz,1080p FHD,Standard,False,False,True,"Rs 21,500",21500,Used,Kalutara,24-inch-dell-frameless-monitor-for-sale-kalutara,https://ikman.lk/en/ad/24-inch-dell-frameless-monitor-for-sale-kalutara,Sheiba Arcade,True,5 hours
